68,C20,0,B AIW00202 2WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.310,21.219,0.137,5.712,6.075,0.550,24.010,0.999,-3.567,90.712,1,0.116,1,3,17,Amp,,0.893,N,N
69,C21,0,B AIW00202 2WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.285,21.219,0.137,5.805,6.075,0.550,24.010,0.999,-3.567,90.712,1,0.116,1,3,17,Amp,,0.895,N,N
70,C22,0,B AIW00202 4WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.147,21.228,0.126,6.347,6.038,0.478,24.010,0.999,-3.567,90.712,1,0.116,1,3,17,Amp,,0.898,N,N
71,C23,0,B AIW00202 4WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.164,21.228,0.126,6.280,6.038,0.478,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.885,N,Y
72,C24,0,B AIW00202 4WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.372,21.228,0.126,5.488,6.038,0.478,24.010,0.999,-3.567,90.712,1,0.116,1,3,17,Amp,,0.917,N,N
73,D1,0,,ACTB,STANDARD,VIC,NFQ-MGB,17.745,17.857,0.158,12.500,,,21.660,0.999,-3.385,97.418,1,0.159,1,3,12,Amp,,0.949,N,N
74,D2,0,,ACTB,STANDARD,VIC,NFQ-MGB,17.790,17.857,0.158,12.500,,,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.938,Y,Y
75,D3,0,,ACTB,STANDARD,VIC,NFQ-MGB,18.037,17.857,0.158,12.500,,,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.960,N,N
85,D13,0,,GAPDH,STANDARD,VIC,NFQ-MGB,19.987,19.998,0.015,12.500,,,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.850,N,N
86,D14,0,,GAPDH,STANDARD,VIC,NFQ-MGB,19.992,19.998,0.015,12.500,,,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.844,N,N
87,D15,0,,GAPDH,STANDARD,VIC,NFQ-MGB,20.015,19.998,0.015,12.500,,,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.854,N,N
97,E1,0,C AIW00202 iPSC,ACTB,UNKNOWN,VIC,NFQ-MGB,17.516,17.720,0.184,16.748,14.658,1.872,21.660,0.999,-3.385,97.418,1,0.159,1,3,12,Amp,,0.926,N,N
98,E2,0,C AIW00202 iPSC,ACTB,UNKNOWN,VIC,NFQ-MGB,17.770,17.720,0.184,14.091,14.658,1.872,21.660,0.999,-3.385,97.418,1,0.159,1,3,12,Amp,,0.946,N,N
99,E3,0,C AIW00202 iPSC,ACTB,UNKNOWN,VIC,NFQ-MGB,17.873,17.720,0.184,13.135,14.658,1.872,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.957,N,N
100,E4,0,C AIW00202 MNPC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.684,18.744,0.058,7.569,7.267,0.290,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.965,N,N
101,E5,0,C AIW00202 MNPC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.800,18.744,0.058,6.991,7.267,0.290,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.964,N,N
102,E6,0,C AIW00202 MNPC,ACTB,UNKNOWN,VIC,NFQ-MGB,18.749,18.744,0.058,7.240,7.267,0.290,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.956,N,N
103,E7,0,C AIW00202 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,18.745,18.823,0.075,7.258,6.893,0.350,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.967,N,N
104,E8,0,C AIW00202 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,18.828,18.823,0.075,6.862,6.893,0.350,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.965,N,N
105,E9,0,C AIW00202 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,18.894,18.823,0.075,6.559,6.893,0.350,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.972,N,N
106,E10,0,C AIW00202 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,18.926,19.019,0.083,6.420,6.034,0.346,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.976,N,N
107,E11,0,C AIW00202 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.087,19.019,0.083,5.753,6.034,0.346,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.973,N,N
108,E12,0,C AIW00202 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.043,19.019,0.083,5.928,6.034,0.346,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.980,N,N
109,E13,0,C AIW00202 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,19.633,19.766,0.118,16.871,15.510,1.205,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.838,N,N
