114,E18,0,C AIW00202 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.864,22.707,0.144,28.417,31.657,2.989,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.971,N
115,E19,0,C AIW00202 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,24.847,24.999,0.148,7.588,6.880,0.679,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.972,N
116,E20,0,C AIW00202 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,25.007,24.999,0.148,6.821,6.880,0.679,27.891,0.989,-3.458,94.619,1,0.287,1,3,18,Amp,,0.975,N
117,E21,0,C AIW00202 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,25.143,24.999,0.148,6.233,6.880,0.679,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.968,N
118,E22,0,C AIW00202 4WK,Pax6,UNKNOWN,FAM,NFQ-MGB,25.619,25.647,0.044,4.538,4.456,0.128,27.891,0.989,-3.458,94.619,1,0.287,1,3,20,Amp,,0.970,N
119,E23,0,C AIW00202 4WK,Pax6,UNKNOWN,FAM,NFQ-MGB,25.625,25.647,0.044,4.522,4.456,0.128,27.891,0.989,-3.458,94.619,1,0.287,1,3,18,Amp,,0.977,N
120,E24,0,C AIW00202 4WK,Pax6,UNKNOWN,FAM,NFQ-MGB,25.697,25.647,0.044,4.308,4.456,0.128,27.891,0.989,-3.458,94.619,1,0.287,1,3,21,Amp,,0.972,N
121,F1,0,,Olig2,STANDARD,FAM,NFQ-MGB,31.660,31.999,0.399,3.125,,,33.509,0.986,-3.440,95.317,1,0.308,1,3,26,Amp,,0.978,N
122,F2,0,,Olig2,STANDARD,FAM,NFQ-MGB,32.438,31.999,0.399,3.125,,,33.509,0.986,-3.440,95.317,1,0.308,1,3,27,Amp,,0.971,N
123,F3,0,,Olig2,STANDARD,FAM,NFQ-MGB,31.898,31.999,0.399,3.125,,,33.509,0.986,-3.440,95.317,1,0.308,1,3,26,Amp,,0.980,N
133,F13,0,,Pax6,STANDARD,FAM,NFQ-MGB,26.364,26.477,0.098,3.125,,,27.891,0.989,-3.458,94.619,1,0.287,1,3,21,Amp,,0.975,N
134,F14,0,,Pax6,STANDARD,FAM,NFQ-MGB,26.529,26.477,0.098,3.125,,,27.891,0.989,-3.458,94.619,1,0.287,1,3,21,Amp,,0.970,N
135,F15,0,,Pax6,STANDARD,FAM,NFQ-MGB,26.538,26.477,0.098,3.125,,,27.891,0.989,-3.458,94.619,1,0.287,1,3,21,Amp,,0.981,N
145,G1,0,A 3450 iPSC,Olig2,UNKNOWN,FAM,NFQ-MGB,31.534,31.926,0.384,3.752,2.951,0.758,33.509,0.986,-3.440,95.317,1,0.308,1,3,26,Amp,,0.956,N
146,G2,0,A 3450 iPSC,Olig2,UNKNOWN,FAM,NFQ-MGB,31.941,31.926,0.384,2.856,2.951,0.758,33.509,0.986,-3.440,95.317,1,0.308,1,3,25,Amp,,0.981,N
147,G3,0,A 3450 iPSC,Olig2,UNKNOWN,FAM,NFQ-MGB,32.301,31.926,0.384,2.245,2.951,0.758,33.509,0.986,-3.440,95.317,1,0.308,1,3,27,Amp,,0.962,N
148,G4,0,A 3450 MNPC,Olig2,UNKNOWN,FAM,NFQ-MGB,26.985,27.225,0.229,78.821,67.686,10.447,33.509,0.986,-3.440,95.317,1,0.308,1,3,20,Amp,,0.962,N
149,G5,0,A 3450 MNPC,Olig2,UNKNOWN,FAM,NFQ-MGB,27.248,27.225,0.229,66.137,67.686,10.447,33.509,0.986,-3.440,95.317,1,0.308,1,3,22,Amp,,0.963,N
150,G6,0,A 3450 MNPC,Olig2,UNKNOWN,FAM,NFQ-MGB,27.441,27.225,0.229,58.100,67.686,10.447,33.509,0.986,-3.440,95.317,1,0.308,1,3,22,Amp,,0.962,N
151,G7,0,A 3450 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,33.014,33.258,0.266,1.393,1.195,0.208,33.509,0.986,-3.440,95.317,1,0.308,1,3,28,Amp,,0.972,N
152,G8,0,A 3450 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,33.542,33.258,0.266,0.978,1.195,0.208,33.509,0.986,-3.440,95.317,1,0.308,1,3,27,Amp,,0.951,N
153,G9,0,A 3450 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,33.219,33.258,0.266,1.214,1.195,0.208,33.509,0.986,-3.440,95.317,1,0.308,1,3,27,Amp,,0.957,N
154,G10,0,A 3450 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,35.379,34.869,0.544,0.286,0.421,0.155,33.509,0.986,-3.440,95.317,1,0.308,1,3,29,Amp,,0.971,Y
155,G11,0,A 3450 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,34.932,34.869,0.544,0.386,0.421,0.155,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.966,Y
