106,E10,0,C AIW00202 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.592,26.736,0.126,18.501,16.849,1.440,30.988,0.981,-3.469,94.201,1,0.338,1,3,21,Amp,,0.969,N,N,N,N
107,E11,0,C AIW00202 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.793,26.736,0.126,16.185,16.849,1.440,30.988,0.981,-3.469,94.201,1,0.338,1,3,20,Amp,,0.970,N,N,N,N
108,E12,0,C AIW00202 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,26.824,26.736,0.126,15.860,16.849,1.440,30.988,0.981,-3.469,94.201,1,0.338,1,3,21,Amp,,0.966,N,N,N,N
109,E13,0,C AIW00202 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,25.678,25.792,0.100,1.844,1.716,0.112,26.632,0.993,-3.592,89.854,1,0.283,1,3,20,Amp,,0.973,N,N,N,N
110,E14,0,C AIW00202 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,25.833,25.792,0.100,1.669,1.716,0.112,26.632,0.993,-3.592,89.854,1,0.283,1,3,21,Amp,,0.975,N,N,N,N
111,E15,0,C AIW00202 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,25.864,25.792,0.100,1.636,1.716,0.112,26.632,0.993,-3.592,89.854,1,0.283,1,3,20,Amp,,0.976,N,N,N,N
112,E16,0,C AIW00202 MNPC,MAP2,UNKNOWN,FAM,NFQ-MGB,24.459,24.543,0.114,4.028,3.823,0.273,26.632,0.993,-3.592,89.854,1,0.283,1,3,19,Amp,,0.978,N,N,N,N
113,E17,0,C AIW00202 MNPC,MAP2,UNKNOWN,FAM,NFQ-MGB,24.498,24.543,0.114,3.928,3.823,0.273,26.632,0.993,-3.592,89.854,1,0.283,1,3,18,Amp,,0.980,N,N,N,N
114,E18,0,C AIW00202 MNPC,MAP2,UNKNOWN,FAM,NFQ-MGB,24.672,24.543,0.114,3.513,3.823,0.273,26.632,0.993,-3.592,89.854,1,0.283,1,3,18,Amp,,0.977,N,N,N,N
115,E19,0,C AIW00202 2WK,MAP2,UNKNOWN,FAM,NFQ-MGB,21.808,21.965,0.141,22.040,19.988,1.837,26.632,0.993,-3.592,89.854,1,0.283,1,3,16,Amp,,0.970,N,N,N,N
116,E20,0,C AIW00202 2WK,MAP2,UNKNOWN,FAM,NFQ-MGB,22.005,21.965,0.141,19.428,19.988,1.837,26.632,0.993,-3.592,89.854,1,0.283,1,3,16,Amp,,0.976,N,N,N,N
117,E21,0,C AIW00202 2WK,MAP2,UNKNOWN,FAM,NFQ-MGB,22.081,21.965,0.141,18.496,19.988,1.837,26.632,0.993,-3.592,89.854,1,0.283,1,3,16,Amp,,0.970,N,N,N,N
118,E22,0,C AIW00202 4WK,MAP2,UNKNOWN,FAM,NFQ-MGB,22.040,22.149,0.100,18.990,17.739,1.147,26.632,0.993,-3.592,89.854,1,0.283,1,3,15,Amp,,0.969,N,N,N,N
119,E23,0,C AIW00202 4WK,MAP2,UNKNOWN,FAM,NFQ-MGB,22.237,22.149,0.100,16.737,17.739,1.147,26.632,0.993,-3.592,89.854,1,0.283,1,3,15,Amp,,0.974,N,N,N,N
120,E24,0,C AIW00202 4WK,MAP2,UNKNOWN,FAM,NFQ-MGB,22.168,22.149,0.100,17.491,17.739,1.147,26.632,0.993,-3.592,89.854,1,0.283,1,3,14,Amp,,0.976,N,N,N,N
121,F1,0,,ChAT,STANDARD,FAM,NFQ-MGB,29.597,29.667,0.070,3.125,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,24,Amp,,0.978,N,N,N,N
122,F2,0,,ChAT,STANDARD,FAM,NFQ-MGB,29.669,29.667,0.070,3.125,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,24,Amp,,0.976,N,N,N,N
123,F3,0,,ChAT,STANDARD,FAM,NFQ-MGB,29.737,29.667,0.070,3.125,,,30.988,0.981,-3.469,94.201,1,0.338,1,3,24,Amp,,0.974,N,N,N,N
133,F13,0,,MAP2,STANDARD,FAM,NFQ-MGB,25.162,25.203,0.037,3.125,,,26.632,0.993,-3.592,89.854,1,0.283,1,3,20,Amp,,0.978,N,N,N,N
134,F14,0,,MAP2,STANDARD,FAM,NFQ-MGB,25.216,25.203,0.037,3.125,,,26.632,0.993,-3.592,89.854,1,0.283,1,3,19,Amp,,0.980,N,N,N,N
