,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Region,T_R
92,B2M,R6 NST,1.1448891031822568,1.0000000000000002,0.1495487316710766,0.08634200048726319,False,STN,NST_Control
93,B2M,V3 NST,0.9711003849208775,1.0,0.152823992013144,0.08823297292742191,False,STN,NST_Control
94,B2M,V3 NST,0.8636891305676055,1.0,0.152823992013144,0.08823297292742191,False,STN,NST_Control
95,B2M,V3 NST,1.1652104845115172,1.0,0.152823992013144,0.08823297292742191,False,STN,NST_Control
96,B2M,V4 NST,,,,,True,STN,NST_Control
97,B2M,V4 NST,1.0,1.0,0.0,0.0,False,STN,NST_Control
98,B2M,V4 NST,1.0,1.0,0.0,0.0,False,STN,NST_Control
99,B2M,R5bis NST,,,,,True,STN,NST_Cocaine
100,B2M,R5bis NST,0.8304078797828007,0.9999999999999999,0.23983947648277143,0.16959212021719916,False,STN,NST_Cocaine
101,B2M,R5bis NST,1.169592120217199,0.9999999999999999,0.23983947648277143,0.16959212021719916,False,STN,NST_Cocaine
102,B2M,R6bisNST,1.0779253319969933,1.0,0.08866240637351512,0.05118926418674895,False,STN,NST_Cocaine
103,B2M,R6bisNST,0.9035329491355549,1.0,0.08866240637351512,0.05118926418674895,False,STN,NST_Cocaine
104,B2M,R6bisNST,1.0185417188674517,1.0,0.08866240637351512,0.05118926418674895,False,STN,NST_Cocaine
105,B2M,R8bisNST,,,,,True,STN,NST_Cocaine
106,B2M,R8bisNST,0.9322328410078192,1.0,0.09583723533023582,0.06776715899218072,False,STN,NST_Cocaine
107,B2M,R8bisNST,1.0677671589921807,1.0,0.09583723533023582,0.06776715899218072,False,STN,NST_Cocaine
108,B2M,V2NST,1.0479426511415904,1.0,0.37319897581590544,0.21546652914860565,False,STN,NST_Cocaine
109,B2M,V2NST,0.6051464799237559,1.0,0.37319897581590544,0.21546652914860565,False,STN,NST_Cocaine
110,B2M,V2NST,1.3469108689346536,1.0,0.37319897581590544,0.21546652914860565,False,STN,NST_Cocaine
111,B2M,V8NST,1.125105663567202,1.0,0.17692612614642272,0.12510566356720204,False,STN,NST_Cocaine
112,B2M,V8NST,0.874894336432798,1.0,0.17692612614642272,0.12510566356720204,False,STN,NST_Cocaine
113,B2M,V8NST,,,,,True,STN,NST_Cocaine
114,B2M,B4bisGP,,,,,True,GP,GP_Control
115,B2M,B4bisGP,0.9889083479276123,1.0,0.015685964789894275,0.011091652072387659,False,GP,GP_Control
116,B2M,B4bisGP,1.0110916520723876,1.0,0.015685964789894275,0.011091652072387659,False,GP,GP_Control
117,B2M,R6 GP,,,,,True,GP,GP_Control
118,B2M,R6 GP,1.0784020508438368,1.0,0.11087724362121894,0.07840205084383678,False,GP,GP_Control
119,B2M,R6 GP,0.9215979491561632,1.0,0.11087724362121894,0.07840205084383678,False,GP,GP_Control
120,B2M,V3 GP,,,,,True,GP,GP_Control
121,B2M,V3 GP,1.015268051888417,1.0,0.021592286051615405,0.015268051888416956,False,GP,GP_Control
122,B2M,V3 GP,0.984731948111583,1.0,0.021592286051615405,0.015268051888416956,False,GP,GP_Control
123,B2M,V4 GP,,,,,True,GP,GP_Control
124,B2M,V4 GP,0.9747422680412371,1.0,0.03571982709086694,0.02525773195876296,False,GP,GP_Control
125,B2M,V4 GP,1.025257731958763,1.0,0.03571982709086694,0.02525773195876296,False,GP,GP_Control
126,B2M,R5bis GP,1.1863028550777017,1.0,0.21264023051880515,0.12276789433057624,False,GP,GP_Cocaine
127,B2M,R5bis GP,1.0453559812070834,1.0,0.21264023051880515,0.12276789433057624,False,GP,GP_Cocaine
128,B2M,R5bis GP,0.7683411637152151,1.0,0.21264023051880515,0.12276789433057624,False,GP,GP_Cocaine
129,B2M,R6bisGP,,,,,True,GP,GP_Cocaine
130,B2M,R6bisGP,0.6102221531769458,1.0,0.5512291172897462,0.3897778468230543,False,GP,GP_Cocaine
131,B2M,R6bisGP,1.3897778468230544,1.0,0.5512291172897462,0.3897778468230543,False,GP,GP_Cocaine
132,B2M,R8bisGP,0.8490437777576363,1.0,0.1503034120980236,0.08677771543491318,False,GP,GP_Cocaine
133,B2M,R8bisGP,1.1496419831414848,1.0,0.1503034120980236,0.08677771543491318,False,GP,GP_Cocaine
134,B2M,R8bisGP,1.0013142391008794,1.0,0.1503034120980236,0.08677771543491318,False,GP,GP_Cocaine
135,B2M,V2GP,1.1163270570028372,1.0,0.16451130168436057,0.11632705700283724,False,GP,GP_Cocaine
136,B2M,V2GP,0.8836729429971627,1.0,0.16451130168436057,0.11632705700283724,False,GP,GP_Cocaine
137,B2M,V2GP,,,,,True,GP,GP_Cocaine
138,B2M,V8GP,1.1671602890652766,1.0,0.2364003478863212,0.16716028906527663,False,GP,GP_Cocaine
139,B2M,V8GP,0.8328397109347233,1.0,0.2364003478863212,0.16716028906527663,False,GP,GP_Cocaine
140,B2M,V8GP,,,,,True,GP,GP_Cocaine
141,B2M,B4bisSN,1.1160261058738215,0.9999999999999997,0.19658342742552568,0.11349749474234652,False,SN,SN_Control
142,B2M,B4bisSN,1.1109499637418416,0.9999999999999997,0.19658342742552568,0.11349749474234652,False,SN,SN_Control
143,B2M,B4bisSN,0.7730239303843363,0.9999999999999997,0.19658342742552568,0.11349749474234652,False,SN,SN_Control
144,B2M,R6 SN,,,,,True,SN,SN_Control
145,B2M,R6 SN,1.0242483026188167,1.0,0.03429227842805764,0.024248302618816716,False,SN,SN_Control
146,B2M,R6 SN,0.9757516973811833,1.0,0.03429227842805764,0.024248302618816716,False,SN,SN_Control
147,B2M,V3 SN,,,,,True,SN,SN_Control
148,B2M,V3 SN,1.1110781771026308,1.0,0.15708826454222088,0.11107817710263067,False,SN,SN_Control
149,B2M,V3 SN,0.8889218228973694,1.0,0.15708826454222088,0.11107817710263067,False,SN,SN_Control
