27,B3,FALSE,Normal,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1,0.944,1.06,24.918,24.903,0.024,,0.148,0.052,0.03,0,TRUE,0.258,TRUE,3,19,Amp,,0.985,N,N,N,N,N,N,N,N
28,B4,FALSE,fxs,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.029,0.879,1.205,28.841,28.818,0.044,,0.106,0.142,0.082,#FIELD!,TRUE,0.258,TRUE,3,23,Amp,,0.982,N,N,N,N,N,N,N,N
29,B5,FALSE,fxs,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.029,0.879,1.205,28.767,28.818,0.044,,0.106,0.142,0.082,#FIELD!,TRUE,0.258,TRUE,3,23,Amp,,0.987,N,N,N,N,N,N,N,N
30,B6,FALSE,fxs,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.029,0.879,1.205,28.845,28.818,0.044,,0.106,0.142,0.082,#FIELD!,TRUE,0.258,TRUE,3,23,Amp,,0.984,N,N,N,N,N,N,N,N
31,B7,FALSE,GM25953,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.044,0.996,1.094,27.404,27.408,0.008,,0.086,0.043,0.025,#FIELD!,TRUE,0.258,TRUE,3,22,Amp,,0.982,N,N,N,N,N,N,N,N
32,B8,FALSE,GM25953,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.044,0.996,1.094,27.418,27.408,0.008,,0.086,0.043,0.025,#FIELD!,TRUE,0.258,TRUE,3,21,Amp,,0.985,N,N,N,N,N,N,N,N
33,B9,FALSE,GM25953,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,1.044,0.996,1.094,27.402,27.408,0.008,,0.086,0.043,0.025,#FIELD!,TRUE,0.258,TRUE,3,21,Amp,,0.987,N,N,N,N,N,N,N,N
34,B10,FALSE,GM25975,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.992,0.933,1.054,26.989,26.975,0.017,,0.16,0.055,0.032,0.012,TRUE,0.258,TRUE,3,21,Amp,,0.985,N,N,N,N,N,N,N,N
35,B11,FALSE,GM25975,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.992,0.933,1.054,26.981,26.975,0.017,,0.16,0.055,0.032,0.012,TRUE,0.258,TRUE,3,21,Amp,,0.988,N,N,N,N,N,N,N,N
36,B12,FALSE,GM25975,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.992,0.933,1.054,26.956,26.975,0.017,,0.16,0.055,0.032,0.012,TRUE,0.258,TRUE,3,21,Amp,,0.983,N,N,N,N,N,N,N,N
37,B13,FALSE,GM25974,CHR4,UNKNOWN,FAM,NFQ-MGB,,,,0.974,0.944,1.006,26.966,26.939,0.024,,0.185,0.028,0.016,0.037,TRUE,0.258,TRUE,3,20,Amp,,0.988,N,N,N,N,N,N,N,N
