105,E9,FALSE,KYOU-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.584,0.395,0.864,21.486,21.428,0.052,,1.944,0.414,0.239,0.776,TRUE,0.277,TRUE,3,16,Amp,,0.910,N,N,N,N,N,N,N,N
106,E10,FALSE,KYOU-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.542,0.367,0.801,26.295,26.294,0.031,,6.810,0.412,0.238,0.884,TRUE,0.283,TRUE,3,21,Amp,,0.950,N,N,N,N,N,N,N,N
107,E11,FALSE,KYOU-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.542,0.367,0.801,26.262,26.294,0.031,,6.810,0.412,0.238,0.884,TRUE,0.283,TRUE,3,21,Amp,,0.947,N,N,N,N,N,N,N,N
108,E12,FALSE,KYOU-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.542,0.367,0.801,26.324,26.294,0.031,,6.810,0.412,0.238,0.884,TRUE,0.283,TRUE,3,21,Amp,,0.948,N,N,N,N,N,N,N,N
109,E13,FALSE,KYOU-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.359,0.243,0.530,27.521,27.545,0.022,,8.061,0.412,0.238,1.479,TRUE,0.300,TRUE,3,22,Amp,,0.933,N,N,N,N,N,N,N,N
110,E14,FALSE,KYOU-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.359,0.243,0.530,27.553,27.545,0.022,,8.061,0.412,0.238,1.479,TRUE,0.300,TRUE,3,22,Amp,,0.938,N,N,N,N,N,N,N,N
111,E15,FALSE,KYOU-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.359,0.243,0.530,27.562,27.545,0.022,,8.061,0.412,0.238,1.479,TRUE,0.300,TRUE,3,22,Amp,,0.960,N,N,N,N,N,N,N,N
112,E16,FALSE,KYOU-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.191,0.127,0.287,26.806,26.840,0.126,,7.356,0.430,0.248,2.387,TRUE,0.311,TRUE,3,21,Amp,,0.940,N,N,N,N,N,N,N,N
113,E17,FALSE,KYOU-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.191,0.127,0.287,26.734,26.840,0.126,,7.356,0.430,0.248,2.387,TRUE,0.311,TRUE,3,20,Amp,,0.955,N,N,N,N,N,Y,N,N
114,E18,FALSE,KYOU-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.191,0.127,0.287,26.980,26.840,0.126,,7.356,0.430,0.248,2.387,TRUE,0.311,TRUE,3,21,Amp,,0.975,N,N,N,N,N,Y,N,N
115,E19,FALSE,KYOU-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.023,18.191,0.496,,,,,,TRUE,0.101,TRUE,3,13,Amp,,0.801,N,N,N,N,N,N,Y,N
116,E20,FALSE,KYOU-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.801,18.191,0.496,,,,,,TRUE,0.101,TRUE,3,13,Amp,,0.780,Y,N,N,N,N,N,Y,N
117,E21,FALSE,KYOU-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.749,18.191,0.496,,,,,,TRUE,0.101,TRUE,3,14,Amp,,0.832,N,N,N,N,N,N,Y,N
118,E22,FALSE,KYOU-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.509,20.777,0.303,,,,,,TRUE,0.096,TRUE,3,16,Amp,,0.782,Y,N,N,N,N,Y,N,N
119,E23,FALSE,KYOU-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.106,20.777,0.303,,,,,,TRUE,0.096,TRUE,3,17,Amp,,0.869,N,N,N,N,N,N,Y,N
120,E24,FALSE,KYOU-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.715,20.777,0.303,,,,,,TRUE,0.096,TRUE,3,17,Amp,,0.772,Y,N,N,N,N,N,N,N
